sample_id,class_id,image_path,tensor_path,scene_name,scene_channel_model,scene_xml_path,scene_tx_name,scene_source,scene_loaded,scene_load_error,carrier_frequency_hz,sampling_rate_hz,num_snapshots,snapshot_duration_s,stft_window_size,stft_overlap,stft_nfft,stft_window_duration_s,stft_frequency_resolution_hz,rotor_frequency_hz,rotor_period_s,omega_rad_s,omega_h_rad_s,omega_theta_rad_s,omega_theta_over_omega_h,degree,degree_rad,body_speed_m_s,body_velocity_x,body_velocity_y,body_velocity_z,body_acceleration_x,body_acceleration_y,body_acceleration_z,blade_radius_m,num_uavs,num_rotors,num_blades_per_rotor,points_per_blade,num_scatterers,doppler_body_theory_hz,micro_doppler_max_theory_hz,doppler_support_min_theory_hz,doppler_support_max_theory_hz,stft_support_min_observed_hz,stft_support_max_observed_hz,stft_peak_observed_hz,window_ratio_Twin_over_Trot,window_strict_metric,window_check_pass,random_seed,noise_snr_db,created_time,initial_body_position_x,initial_body_position_y,initial_body_position_z,initial_rotor_phase_rad,bs_position_x,bs_position_y,bs_position_z,sample_elapsed_s,scene_channel_model,rt_solver,rt_max_depth,rt_los,rt_specular_reflection,rt_diffuse_reflection,rt_diffraction,rt_refraction,rt_snapshot_stride,rt_snapshots_solved,rt_elapsed_s,rt_total_valid_paths,rt_min_valid_paths_per_solved_snapshot,rt_max_valid_paths_per_solved_snapshot,rt_cir_sampling_frequency_hz
pitch30_v10_0000,pitch30_v10,images/pitch30_v10/pitch30_v10_0000.png,tensors/pitch30_v10/pitch30_v10_0000.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,24.508442021267147,0.04080226719969601,153.9910828098885,143.30484992127606,153.9910828098885,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.020101285044504064,1,4,2,3,25,-1867.9547119140625,501.972412109375,-2369.871826171875,-1365.9822998046875,-10000.0,9960.9375,-1875.0,0.058820260851041146,0.445243825620946,True,20260630,20.038566990786997,2026-06-30T16:16:39+08:00,0.021935521693647625,0.0008234806433878097,2.956647538482307,0.4144940630827998,,,,223.3588315480156,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,223.3588315480156,51200,25,25,122880000.0
pitch30_v10_0001,pitch30_v10,images/pitch30_v10/pitch30_v10_0001.png,tensors/pitch30_v10/pitch30_v10_0001.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,24.014670861026715,0.041641211981917885,150.8886271107568,140.4176895725151,150.8886271107568,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.019497357589711186,1,4,2,3,25,-1867.9581298828125,476.2318115234375,-2344.152587890625,-1391.726318359375,-3007.8125,-742.1875,-1875.0,0.05763521006646412,0.4139018739489033,True,20260631,39.77600116499083,2026-06-30T16:21:13+08:00,-0.04191997080553183,0.0034216166749917315,3.0187565506924856,0.5182102033178387,,,,224.7310768640018,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,224.7310768640018,51200,25,25,122880000.0
pitch30_v10_0002,pitch30_v10,images/pitch30_v10/pitch30_v10_0002.png,tensors/pitch30_v10/pitch30_v10_0002.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,23.466545844119548,0.042613855769087924,147.44465605802813,137.2127133762388,147.44465605802813,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01980543958590319,1,4,2,3,25,-1867.95556640625,472.4412841796875,-2340.37109375,-1395.5142822265625,-3007.8125,-742.1875,-1875.0,0.056319710025886906,0.4012355096840859,True,20260632,32.36128295624728,2026-06-30T16:26:13+08:00,0.019377104576183843,0.0018976740276049203,3.0386572576350788,4.33300180779655,,,,299.8091078280122,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,299.8091078280122,51200,25,25,122880000.0
pitch30_v10_0003,pitch30_v10,images/pitch30_v10/pitch30_v10_0003.png,tensors/pitch30_v10/pitch30_v10_0003.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,25.932240257807976,0.03856203667937669,162.93707097011003,151.63002997264806,162.93707097011003,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01901637005219719,1,4,2,3,25,-1867.958251953125,501.5977783203125,-2369.523193359375,-1366.3604736328125,-10000.0,9960.9375,-1875.0,0.06223737661873914,0.47075830735464724,True,20260633,20.226038611042306,2026-06-30T16:32:03+08:00,0.019843249583635633,0.006049071764103894,3.016647855199685,3.2999978644292667,,,,349.85637619398767,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,349.85637619398767,51200,25,25,122880000.0
pitch30_v10_0004,pitch30_v10,images/pitch30_v10/pitch30_v10_0004.png,tensors/pitch30_v10/pitch30_v10_0004.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,26.023675972952056,0.03842654669691396,163.51157851205477,152.16466948277264,163.51157851205477,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.021371559608992598,1,4,2,3,25,-1867.9508056640625,566.7386474609375,-2434.619384765625,-1301.212158203125,-3046.875,-703.125,-1875.0,0.06245682233508492,0.5337695856967188,True,20260634,34.5409614115989,2026-06-30T16:38:45+08:00,-0.02496211481391103,0.039653678430419975,2.9542080842164515,1.705295255365074,,,,401.6027158329962,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,401.6027158329962,51200,25,25,122880000.0
pitch30_v10_0005,pitch30_v10,images/pitch30_v10/pitch30_v10_0005.png,tensors/pitch30_v10/pitch30_v10_0005.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,23.048856181601465,0.04338610090327349,144.8202345075337,134.77041392901646,144.8202345075337,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.020851565517230445,1,4,2,3,25,-1867.9532470703125,489.7720947265625,-2357.65966796875,-1378.18115234375,-6054.6875,4218.75,-1875.0,0.05531725483584351,0.4085505193740295,True,20260635,27.85315074386938,2026-06-30T16:46:20+08:00,-0.028869444903966847,0.015265144506943704,2.951925578160748,0.08245886907940621,,,,455.3839731469634,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,455.3839731469634,51200,25,25,122880000.0
pitch30_v10_0006,pitch30_v10,images/pitch30_v10/pitch30_v10_0006.png,tensors/pitch30_v10/pitch30_v10_0006.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,22.975980847842266,0.043523713160385606,144.3623452812021,134.34429999006176,144.3623452812021,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01922330013381839,1,4,2,3,25,-1867.95556640625,449.1473388671875,-2317.0869140625,-1418.8082275390625,-3007.8125,-742.1875,-1875.0,0.05514235403482143,0.37347818812230527,True,20260636,27.901518943157146,2026-06-30T16:54:53+08:00,0.03913422696991224,-0.03020937164559039,3.0244788302887384,3.5564615383291707,,,,512.514453804004,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,512.514453804004,51200,25,25,122880000.0
pitch30_v10_0007,pitch30_v10,images/pitch30_v10/pitch30_v10_0007.png,tensors/pitch30_v10/pitch30_v10_0007.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,25.204579400765475,0.03967532979223726,158.3650429645309,147.37527849470524,158.3650429645309,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0202255997767217,1,4,2,3,25,-1867.958740234375,518.8243408203125,-2386.750732421875,-1349.1343994140625,-10000.0,9960.9375,-1875.0,0.06049099056183714,0.47326256078430634,True,20260637,22.843188793733486,2026-06-30T17:04:30+08:00,0.00046472423227926496,-0.008235296811900696,2.9962505045054177,3.3516199582591306,,,,576.1626864580321,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,576.1626864580321,51200,25,25,122880000.0
pitch30_v10_0008,pitch30_v10,images/pitch30_v10/pitch30_v10_0008.png,tensors/pitch30_v10/pitch30_v10_0008.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,26.32848862981385,0.03798167126340933,165.42677291909118,153.9469587040859,165.42677291909118,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01813500531611694,1,4,2,3,25,-1867.9534912109375,486.5103759765625,-2354.42529296875,-1381.443115234375,-3320.3125,-703.125,-1875.0,0.06318837271155324,0.46357540697926924,True,20260638,26.56510243388303,2026-06-30T17:14:46+08:00,0.015302619595782024,-0.02102177557654309,2.955288449796638,3.7033028837750592,,,,616.4826093479642,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,616.4826093479642,51200,25,25,122880000.0
pitch30_v10_0009,pitch30_v10,images/pitch30_v10/pitch30_v10_0009.png,tensors/pitch30_v10/pitch30_v10_0009.npz,floor_wall,sionna_rt_pathsolver,,,,,,28000000000.0,20000.0,2048,0.1024,48,36,512,0.0024,416.6666666666667,26.55373846711533,0.0376594806504711,166.84205938726842,155.26403116839307,166.84205938726842,1.0745699318235418,30.0,0.5235987755982988,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02150405147909927,1,4,2,3,25,-1867.9559326171875,581.131103515625,-2449.033203125,-1286.8248291015625,-10000.0,9960.9375,-1875.0,0.06372897232107679,0.5584729540869661,True,20260639,20.617081534255593,2026-06-30T17:25:49+08:00,0.02312396001479962,0.03673724165422736,2.998267940672748,2.0716024408473457,,,,661.9929704529932,sionna_rt_pathsolver,sionna.rt.PathSolver,2,True,True,False,False,False,1,2048,661.9929704529932,51200,25,25,122880000.0
